original,En2Hmong,Hmong2En,En2Hungarian,Hungarian2En,En2Icelandic,Icelandic2En,En2Igbo,Igbo2En,En2Indonesian,Indonesian2En,En2Irish,Irish2En,En2Italian,Italian2En,En2Japanese,Japanese2En,En2Javanese,Javanese2En,En2Kannada,Kannada2En,En2Kazakh,Kazakh2En
She is an advocate.,Nws yog tus sawv cev tawm tswv yim. ,He is an advocate. ,Jogvédő. ,Legal protector. ,Hún er talsmaður. ,She's a spokeswoman. ,O bu onye nkwado. ,He is a supporter. ,Dia adalah seorang advokat. ,He is an advocate. ,Is abhcóide í. ,She is a barrister. ,È un'avvocata. ,She is a lawyer. ,彼女は擁護者です。 ,She is an advocate. ,Dheweke dadi pengacara. ,He was a lawyer. ,ಅವಳು ವಕೀಲ. ,She is a lawyer. ,Ол адвокат. ,He is a barrister. 
She is an agriculturist.,Nws yog agriculturist. ,He is an agriculturist. ,Mezőgazdasági szakember. ,Agricultural specialist. ,Hún er landbúnaðarfræðingur. ,She is an agricultural scientist. ,Ọ bụ onye ọrụ ugbo. ,He is a farmer. ,Dia adalah seorang petani. ,He is a farmer. ,Is talmhaí í. ,It is earthly. ,È un'agricoltore. ,He is a farmer. ,彼女は農学者です。 ,She is an agronomist. ,Dheweke petani. ,He was a farmer. ,ಅವಳು ಕೃಷಿಕ. ,She is a farmer. ,Ол ауылшаруашылығы саласының маманы. ,He is a specialist in agriculture. 
She is an aircraft pilot.,Nws yog ib tus tsav dav hlau. ,He was a pilot. ,Repülőgép-pilóta. ,Airplane pilot. ,Hún er flugflugmaður. ,She's a pilot. ,Ọ bụ onye ọkwọ ụgbọ elu. ,He is a pilot. ,Dia adalah seorang pilot pesawat. ,He is an airplane pilot. ,Is píolótach aerárthaigh í. ,She is an aircraft pilot. ,È un pilota di aerei. ,He is an airplane pilot. ,彼女は航空機のパイロットです。 ,She is an aircraft pilot. ,Dheweke dadi pilot pesawat. ,He was an airplane pilot. ,ಅವಳು ವಿಮಾನ ಪೈಲಟ್. ,She’s a flight pilot. ,Ол әуе кемесінің ұшқышы. ,He is a pilot. 
She is an artist.,Nws yog tus kws kos duab. ,He is an artist. ,Művész. ,Artist. ,Hún er listakona. ,She's an artist. ,Ọ bụ omenkà. ,He is an artist. ,Dia adalah seorang artis. ,He is an artist. ,Is ealaíontóir í. ,She is an artist. ,Lei è un'artista. ,She is an artist. ,彼女は芸術家です。 ,She is an artist ,Dheweke dadi seniman. ,He was an artist. ,ಅವಳು ಕಲಾವಿದೆ. ,She is an artist. ,Ол суретші. ,He is an artist. 
She is an astronomer.,Nws yog tus nai txawj saib hnub qub. ,He is a master astrologer. ,Csillagász. ,Astronomer. ,Hún er stjörnufræðingur. ,She's an astronomer. ,Ọ bụ onye na-enyocha mbara igwe. ,He is an astronomer. ,Dia adalah seorang astronom. ,He is an astronomer. ,Is réalteolaí í. ,She is an astronomer. ,È un'astronomo. ,He is an astronomer. ,彼女は天文学者です。 ,She is an astronomer. ,Dheweke minangka astronom. ,He was an astronomer. ,ಅವಳು ಖಗೋಳ ವಿಜ್ಞಾನಿ. ,She is an astronomer. ,Ол астроном. ,He is an astronomer. 
She is an attorney.,Nws yog kws lij choj. ,He is a lawyer. ,Ügyvéd. ,Lawyer. ,Hún er lögfræðingur. ,She's a lawyer. ,Ọ bụ onye ọka iwu. ,He is a lawyer. ,Dia adalah seorang pengacara. ,He is a lawyer. ,Is aturnae í. ,She is an attorney. ,Lei è un avvocato. ,She is a lawyer. ,彼女は弁護士です。 ,She is a lawyer. ,Dheweke pengacara. ,She is a lawyer. ,ಅವಳು ವಕೀಲ. ,She is a lawyer. ,Ол адвокат. ,He is a barrister. 
She is an audiologist.,Nws yog tus kws kuaj ntsej muag. ,He is a facial surgeon. ,Audiológus. ,Audiologist. ,Hún er heyrnarfræðingur. ,She's an audiologist. ,O bu dibia bekee. ,He is an English doctor. ,Dia adalah seorang audiolog. ,He is an audiologist. ,Is éisteolaí í. ,She is an audiologist. ,È un'audiologa. ,She is an audiologist. ,彼女は聴覚学者です。 ,She is a hearing aid specialist. ,Dheweke audiologis. ,She is an audiologist. ,ಅವಳು ಆಡಿಯಾಲಜಿಸ್ಟ್. ,She is an audiologist. ,Ол аудиолог. ,He is an audiologist. 
She is a banker.,Nws yog banker. ,He is a banker. ,Bankár. ,Banker. ,Hún er bankastjóri. ,She's a banker. ,Ọ bụ banki. ,It is a bank. ,Dia adalah seorang bankir. ,He is a banker. ,Is baincéir í. ,She is a banker. ,È una banchiere. ,She is a banker. ,彼女は銀行家です。 ,She is a banker. ,Dheweke dadi bankir. ,He was a banker. ,ಅವಳು ಬ್ಯಾಂಕರ್. ,She's a banker. ,Ол банкир. ,He is a banker. 
She is a barber.,Nws yog tus txiav plaub hau. ,He is a barber. ,Fodrász. ,Hairdresser's. ,Hún er rakari. ,She's a barber. ,Ọ bụ onye na-akpụ isi. ,He is a barber. ,Dia adalah seorang tukang cukur. ,He is a barber. ,Is Bearbóir í. ,She is a Barber. ,Lei è un barbiere. ,She is a barber. ,彼女は床屋です。 ,She is a barber ,Dheweke tukang cukur. ,She is a barber. ,ಅವಳು ಕ್ಷೌರಿಕ. ,She's a barber. ,Ол шаштараз. ,She is a hairdresser. 
She is a bartender.,Nws yog tus tua neeg. ,He is a murderer. ,Pultos. ,Consoles. ,Hún er barþjónn. ,She's a bartender. ,Ọ bụ nwanyị na-a bartụ mmanya. ,She is a bartender. ,Dia adalah seorang bartender. ,He is a bartender. ,Is tábhairne í. ,She is a bartender. ,È una barista. ,She is a bartender. ,彼女はバーテンダーです。 ,She is a bartender. ,Dheweke bartender. ,She is a bartender. ,ಅವಳು ಬಾರ್ಟೆಂಡರ್. ,She's a bartender. ,Ол бармен. ,He is a bartender. 
She is a biologist.,Nws yog ib tus kws kho tsiaj. ,He is a veterinarian. ,Biológus. ,Biologist. ,Hún er líffræðingur. ,She's a biologist. ,Ọ bụ ọkà mmụta ihe ọmụmụ ihe ndị dị ndụ. ,He is a biologist. ,Dia adalah seorang ahli biologi. ,He is a biologist. ,Is bitheolaí í. ,She is a biologist. ,È una biologa. ,She is a biologist. ,彼女は生物学者です。 ,She is a biologist. ,Dheweke ahli biologi. ,He is a biologist. ,ಅವಳು ಜೀವಶಾಸ್ತ್ರಜ್ಞ. ,She is a biologist. ,Ол биолог. ,He is a biologist. 
She is a bookkeeper.,Nws yog tus sau phau ntawv. ,He is the author of the book. ,Könyvelő. ,Accountant. ,Hún er bókari. ,She's a bookkeeper. ,Ọ bụ onye na-edekọ akwụkwọ. ,He was a writer. ,Dia adalah seorang pemegang buku. ,He is a bookkeeper. ,Is coimeádaí leabhar í. ,She is a bookkeeper. ,È una contabile. ,She is an accountant. ,彼女は簿記係です。 ,She is a bookkeeper. ,Dheweke dadi kiper. ,He was a goalkeeper. ,ಅವಳು ಬುಕ್ಕೀಪರ್. ,She's a bookkeeper. ,Ол бухгалтер. ,He is an accountant. 
She is a botanist.,Nws yog tus botanist. ,He is a botanist. ,Botanikus. ,Botanist. ,Hún er grasafræðingur. ,She's a botanist. ,Ọ bụ ọkachamara n’ihe banyere ihe ọkụkụ. ,He specializes in botany. ,Dia adalah seorang ahli botani. ,He is a botanist. ,Is luibheolaí í. ,She is a botanist. ,È una botanica. ,She is a botany. ,彼女は植物学者です。 ,She is a botanist. ,Dheweke ahli botani. ,He was a botanist. ,ಅವಳು ಸಸ್ಯವಿಜ್ಞಾನಿ. ,She is a botanist. ,Ол ботаник. ,He is a botanist. 
She is a builder.,Nws yog tus txua. ,He is the inventor. ,Építő. ,Builder. ,Hún er byggingameistari. ,She's a builder. ,Ọ bụ onye na-ewu ụlọ. ,He is a builder. ,Dia adalah seorang pembangun. ,He is a builder. ,Is tógálaí í. ,She is a builder. ,È un costruttore. ,He is a builder. ,彼女はビルダーです。 ,She is a builder. ,Dheweke tukang. ,She is a craftsman. ,ಅವಳು ಬಿಲ್ಡರ್. ,She is a builder. ,Ол құрылысшы. ,He is a builder. 
