original,En2Finnish,Finnish2En,En2French,French2En,En2Frisian,Frisian2En,En2Galician,Galician2En,En2Georgian,Georgian2En,En2German,German2En,En2Greek,Greek2En,En2Gujarati,Gujarati2En,En2Haitian Creole,Haitian Creole2En,En2Hausa,Hausa2En,En2Hawaiian,Hawaiian2En,En2Hebrew,Hebrew2En
She is an advocate.,Hän on puolestapuhuja. ,He is an advocate. ,Elle est une avocate. ,She is a lawyer. ,Se is in advokaat. ,She's a lawyer. ,Ela é unha defensora. ,She is an advocate. ,ის არის ადვოკატი. ,He is a lawyer. ,Sie ist eine Anwältin. ,She is a lawyer. ,Είναι δικηγόρος. ,He is a lawyer. ,તે એક હિમાયતી છે. ,She is an advocate. ,Li se yon avoka. ,He is a lawyer. ,Ita mai bayar da shawara ce. ,She is a consultant. ,He kākoʻo ʻo ia. ,He is supportive. ,היא תומכת. ,She is supportive. 
She is an agriculturist.,Hän on maanviljelijä. ,He is a farmer. ,Elle est agricultrice. ,She is a farmer. ,Se is lânboukundige. ,She is an agriculturist. ,É agricultora. ,She is a farmer. ,იგი არის სოფლის მეურნე. ,She is an agriculturist. ,Sie ist Landwirtin. ,She is a farmer. ,Είναι γεωργό. ,He is a farmer. ,તે એક કૃષિવિજ્ .ાની છે. ,He is an agronomist. ,Li se yon agrikiltè. ,He is a farmer. ,Ita mai aikin gona ce. ,She is a farmer. ,He mea mahiʻai ʻo ia. ,He was a farmer. ,היא חקלאית. ,She is a farmer. 
She is an aircraft pilot.,Hän on lentäjä. ,He is a pilot. ,Elle est pilote d'avion. ,She is an airplane pilot. ,Se is in fleantúchpiloat. ,She's an airplane pilot. ,É piloto de avión. ,He is an airplane pilot. ,ის თვითმფრინავის მფრინავია. ,He is an airplane pilot. ,Sie ist Flugzeugpilotin. ,She is an airplane pilot. ,Είναι πιλότη αεροσκαφών. ,He is an aircraft pilot. ,તે એક વિમાન પાઇલટ છે. ,He is an aircraft pilot. ,Li se yon pilòt avyon. ,He is an airplane pilot. ,Ita matukin jirgi ne. ,She is a pilot. ,He pailaka mokulele ia. ,It is an airplane pilot. ,היא טייסת מטוסים. ,She is an aircraft pilot. 
She is an artist.,Hän on taiteilija. ,He is an artist. ,Elle est une artiste. ,She is an artist. ,Se is in artyst. ,She's an artist. ,É unha artista. ,She is an artist. ,ის არის მხატვარი. ,He is an artist. ,Sie ist eine Künstlerin. ,She is an artist. ,Είναι καλλιτέχνης. ,He is an artist. ,તે એક કલાકાર છે. ,He is an artist. ,Li se yon atis. ,He is an artist. ,Ita mai fasaha ce. ,She is talented. ,He mea kaha kiʻi ʻo ia. ,He was an artist. ,היא אומנית. ,She is an artist. 
She is an astronomer.,Hän on tähtitieteilijä. ,He is an astronomer. ,C'est une astronome. ,She's an astronomer. ,Se is in astronoom. ,She's an astronomer. ,É astrónoma. ,She is an astronomer. ,ის არის ასტრონომი. ,He is an astronomer. ,Sie ist Astronomin. ,She is an astronomer. ,Είναι αστρονόμος. ,He is an astronomer. ,તે એક ખગોળશાસ્ત્રી છે. ,He is an astronomer. ,Li se yon astwonòm. ,He is an astronomer. ,Ita masanin taurari ce. ,She is an astronomer. ,He kilo hōkū ʻo ia. ,He is a astrologer. ,היא אסטרונומית. ,She is an astronomer. 
She is an attorney.,Hän on asianajaja. ,He is a lawyer. ,Elle est avocate. ,She is a lawyer. ,Se is in advokaat. ,She's a lawyer. ,É avogada. ,She is a lawyer. ,ის არის ადვოკატი. ,He is a lawyer. ,Sie ist Anwältin. ,She is a lawyer. ,Είναι δικηγόρος. ,He is a lawyer. ,તે એક એટર્ની છે. ,She is an attorney. ,Li se yon avoka. ,He is a lawyer. ,Ita lauya ce. ,She is a lawyer. ,He loio ʻo ia. ,He is a lawyer. ,היא עורכת דין. ,She's a lawyer. 
She is an audiologist.,Hän on audiologi. ,He is an audiologist. ,Elle est audiologiste. ,She is an audiologist. ,Se is audiologist. ,She's an audiologist. ,É audióloga. ,She is an audiologist. ,ის აუდიოლოგია. ,He is an audiologist. ,Sie ist Audiologin. ,She is an audiologist. ,Είναι ακτινολόγος. ,He is a radiologist. ,તે iડિઓલોજિસ્ટ છે. ,He is an idiologist. ,Li se yon odyolojis. ,He is an audiologist. ,Ita masaniyar jiyo sauti ne. ,She is a master of sound. ,He audiologist ʻo ia. ,He is an audiologist. ,היא אודיולוגית. ,She's an audiologist. 
She is a banker.,Hän on pankkiiri. ,He is a banker. ,Elle est banquière. ,She is a banker. ,Se is in bankier. ,She's a banker. ,É banqueira. ,She is a banker. ,ის ბანკირია. ,He is a banker. ,Sie ist Bankerin. ,She is a banker. ,Είναι τραπεζίτης. ,He is a banker. ,તે એક બેંકર છે. ,He is a banker. ,Li se yon Bankye. ,He is a banker. ,Ita ma'aikaciyar banki ce. ,She is a banker. ,He banako ʻo ia. ,He is a bank. ,היא בנקאית. ,She's a banker. 
She is a barber.,Hän on parturi. ,She is a barber. ,Elle est coiffeuse. ,She is a hairdresser. ,Se is in kapper. ,She's a hairdresser. ,É barbeira. ,She is a barber. ,იგი დალაქია. ,He is a barber. ,Sie ist Friseurin. ,She is a hairdresser. ,Είναι κουρέας. ,He is a barber. ,તે એક વાળંદ છે. ,She is a barber. ,Li se yon kwafè. ,She is a barber. ,Ita wanzami ce. ,She is a barber. ,He ʻaihae ʻo ia. ,He is a thief. ,היא ספרה. ,She counted. 
She is a bartender.,Hän on baarimikko. ,He is a bartender. ,Elle est barman. ,She's a bartender. ,Se is in barman. ,She's a bartender. ,É barman. ,He is a bartender. ,ის ბარმენია. ,He is a bartender. ,Sie ist Barkeeperin. ,She is a bartender. ,Είναι μπάρμαν. ,He is a bartender. ,તે બાર્ટેન્ડર છે. ,He is a bartender. ,Li se yon Barman. ,He is a bartender. ,Ita mashaya ce. ,She is a bartender. ,He pā paina ʻo ia. ,It was a pine forest. ,היא ברמנית. ,She's a bartender. 
