original,En2Khmer,Khmer2En,En2Kinyarwanda,Kinyarwanda2En,En2Korean,Korean2En,En2Kurdish,Kurdish2En,En2Kyrgyz,Kyrgyz2En,En2Lao,Lao2En,En2Latin,Latin2En,En2Latvian,Latvian2En,En2Lithuanian,Lithuanian2En,En2Luxembourgish,Luxembourgish2En,En2Macedonian,Macedonian2En
She is an advocate.,នាងគឺជាអ្នកតស៊ូមតិ។ ,She is an advocate. ,Ni umwunganira. ,He is a lawyer. ,그녀는 옹호자입니다. ,She is an advocate. ,Ew parêzer e. ,He is a lawyer. ,Ал адвокат. ,He is a lawyer. ,ນາງເປັນຜູ້ສະ ໜັບ ສະ ໜູນ. ,She is a shuffler. ,Est in patronum . ,A patron . ,Viņa ir advokāte. ,She is a lawyer. ,Ji yra advokatė. ,She is a lawyer. ,Si ass en Affekot. ,She's a lawyer. ,Таа е застапник. ,She is an advocate. 
She is an agriculturist.,នាងជាអ្នកកសិកម្ម។ ,She is a farmer. ,Ni umuhinzi. ,He is a farmer. ,그녀는 농업가입니다. ,She is a farmer. ,Ew çandinî ye. ,It is agricultural. ,Ал айыл чарба адиси. ,He is an agricultural specialist. ,ນາງເປັນນັກກະເສດ. ,She is a farmer. ,Et quod arator est. ,He is an agriculturist. ,Viņa ir lauksaimniece. ,She is a farmer. ,Ji yra žemės ūkio specialistė. ,She is an agricultural specialist. ,Si ass Landwirtschaft. ,She is farming. ,Таа е земјоделски работник. ,She is an agricultural worker. 
She is an aircraft pilot.,នាងគឺជាអ្នកបើកយន្ដហោះ។ ,She is a pilot. ,Ni umuderevu w'indege. ,He is a pilot. ,그녀는 항공기 조종사입니다. ,She is an aircraft pilot. ,Ew pîlotek balafirê ye. ,He is an airplane pilot. ,Ал учкуч. ,He is a pilot. ,ນາງແມ່ນນັກບິນເຮືອບິນ. ,She is an airplane pilot. ,Quæ est gubernator elit . ,What is pilot areas. ,Viņa ir lidmašīnas pilote. ,She is an airplane pilot. ,Ji yra orlaivio pilotė. ,She is an aircraft pilot. ,Si ass e Fligerpilot. ,She's an airplane pilot. ,Таа е пилот на авион. ,She is an airplane pilot. 
She is an artist.,នាងគឺជាសិល្បករ។ ,She is an artist. ,Ni umuhanzi. ,He is an artist. ,그녀는 예술가입니다. ,She is an artist. ,Ew hunermendek e. ,He is an artist. ,Ал сүрөтчү. ,He was an artist. ,ນາງແມ່ນນັກສິລະປິນ. ,She is an artist. ,Illa est artifex . ,She is an artist . ,Viņa ir māksliniece. ,She is an artist. ,Ji yra menininkė. ,She is an artist. ,Si ass eng Kënschtlerin. ,She is an artist. ,Таа е уметник. ,She is an artist. 
She is an astronomer.,នាងជាតារាវិទូ។ ,She is an astronomer. ,Ni umuhanga mu bumenyi bw'ikirere. ,He is a meteorologist. ,그녀는 천문학 자입니다. ,She is an astronomer. ,Ew stêrnasek e. ,He is an astronomer. ,Ал астроном. ,He is an astronomer. ,ນາງແມ່ນນັກດາລາສາດ. ,She is an astronomer. ,Ea autem astrologus. ,She is an astronomer. ,Viņa ir astronome. ,She is an astronomer. ,Ji yra astronomė. ,She is an astronomer. ,Si ass en Astronom. ,She is an astronomer. ,Таа е астроном. ,She is an astronomer. 
She is an attorney.,នាងគឺជាមេធាវី។ ,She is a lawyer. ,Ni umunyamategeko. ,He is a lawyer. ,그녀는 변호사입니다. ,She is a lawyer. ,Ew parêzer e. ,He is a lawyer. ,Ал адвокат. ,He is a lawyer. ,ນາງເປັນທະນາຍຄວາມ. ,She is a lawyer. ,Et attornatus est . ,The attorney said. ,Viņa ir advokāte. ,She is a lawyer. ,Ji yra advokatė. ,She is a lawyer. ,Si ass en Affekot. ,She's a lawyer. ,Таа е адвокат. ,She is a lawyer. 
She is an audiologist.,នាងគឺជាអ្នកជំនាញខាងសោតទស្សន៍។ ,She is an audio-visual expert. ,Ni umuhanga mu majwi. ,He is an expert in sound. ,그녀는 청력 학자입니다. ,She is an audiologist. ,Ew audiolojîstek e. ,He is an audiologist. ,Ал аудиолог. ,And an audiologist. ,ນາງເປັນນັກຂຽນສຽງ. ,She is a vocalist. ,Et Audiologist est . ,The Audiologist it. ,Viņa ir audioloģe. ,She is an audiologist. ,Ji yra audiologė. ,She is an audiologist. ,Si ass en Audiolog. ,She is an audiologist. ,Таа е аудиолог. ,She is an audiologist. 
She is a banker.,នាងជាធនាគារិក។ ,She is a banker. ,Ni umunyamabanki. ,He is a banker. ,그녀는 은행가입니다. ,She is a banker. ,Ew bankir e. ,He is a banker. ,Ал банкир. ,He is a banker. ,ນາງເປັນນັກທະນາຄານ. ,She is a banker. ,Ea argentariam non ignobilem fecit . ,She is a banker . ,Viņa ir baņķieris. ,She is a banker. ,Ji yra bankininkė. ,She is a banker. ,Si ass e Banquier. ,She's a banker. ,Таа е банкар. ,She is a banker. 
She is a barber.,នាងគឺជាជាងកាត់សក់។ ,She is a barber. ,Ni umusatsi. ,It's hairy. ,그녀는 이발사입니다. ,She is a barber. ,Ew berber e. ,He is a barber. ,Ал чачтарач. ,She is a barber. ,ນາງແມ່ນຊ່າງຕັດຜົມ. ,She is a barber. ,Ea tonsorem . ,She is a barber . ,Viņa ir frizētava. ,She is a hairdresser. ,Ji yra kirpėja. ,She is a hairdresser. ,Si ass e Barber. ,She's a barber. ,Таа е берберка. ,She is a barber. 
She is a bartender.,នាងគឺជាអ្នកក្រឡុកស្រា។ ,She is a bartender. ,Ni akabari. ,It is akabari. ,그녀는 바텐더입니다. ,She is a bartender. ,Ew barbar e. ,He is a barbarian. ,Ал бармен. ,And the bartender. ,ນາງແມ່ນຜູ້ທີ່ເປັນປັອກບາ. ,She is a Pokémon. ,Ea enim minister. ,She was a minister. ,Viņa ir bārmene. ,She is a bartender. ,Ji yra barmenė. ,She is a bartender. ,Si ass eng Barmanin. ,She's a bartender. ,Таа е шанкерка. ,She is a bartender. 
