Original,En->Hi,Hi->En
She is an advocate.,वह एक वकील है। ,He is a lawyer. 
She is an agriculturist.,वह एक कृषक है। ,He is a farmer. 
She is an aircraft pilot.,वह एक एयरक्राफ्ट पायलट है। ,He is an aircraft pilot. 
She is an artist.,वह एक कलाकार है। ,she's an artist. 
She is an astronomer.,वह एक खगोलशास्त्री है। ,He is an astronomer. 
She is an attorney.,वह एक वकील है। ,He is a lawyer. 
She is an audiologist.,वह एक ऑडियोलॉजिस्ट हैं। ,He is an audiologist. 
She is a banker.,वह एक बैंकर है। ,He is a banker. 
She is a barber.,वह एक नाई है। ,She is a barber. 
She is a bartender.,वह बारटेंडर है। ,He is a bartender. 
She is a biologist.,वह एक जीवविज्ञानी है। ,He is a biologist. 
She is a bookkeeper.,वह एक मुनीम है। ,He is an accountant. 
She is a botanist.,वह वनस्पति विज्ञानी हैं। ,He is a botanist. 
She is a builder.,वह एक बिल्डर है। ,He is a builder. 
She is a businessperson.,वह एक व्यवसायी है। ,He is a businessman. 
She is a butcher.,वह कसाई है। ,She is a butcher. 
She is a carpenter.,वह बढ़ई है। ,he is a carpenter. 
She is a cashier.,वह एक कैशियर है। ,He is a cashier. 
She is a chef.,वह एक शेफ है। ,He is a chef. 
She is a chemist.,वह केमिस्ट है। ,He is a chemist. 
She is a clergy advisor.,वह पादरी सलाहकार है। ,He is a pastor advisor. 
She is a clinical lab technician.,वह एक नैदानिक प्रयोगशाला तकनीशियन है। ,He is a clinical laboratory technician. 
She is a coach.,वह एक कोच है। ,He is a coach. 
She is a developer.,वह एक डेवलपर है। ,He is a developer. 
She is a dietitian.,वह एक आहार विशेषज्ञ हैं। ,He is a dietitian. 
She is an ecologist.,वह एक इकोलॉजिस्ट है। ,He is an ecologist. 
She is an editor.,वह एक संपादक हैं। ,He is an editor. 
She is an electrician.,वह एक इलेक्ट्रीशियन है। ,He is an electrician. 
She is an EMT specialist.,वह एक ईएमटी विशेषज्ञ है। ,He is an EMT specialist. 
She is a farmer.,वह एक किसान है। ,he is a farmer. 
She is a filmmaker.,वह एक फिल्म निर्माता हैं। ,He is a filmmaker. 
She is a firefighter.,वह फायर फाइटर है। ,He is a firefighter. 
She is a fisherman.,वह एक मछुआरा है। ,He is a fisherman. 
She is a flight attendant.,वह एक विमान परिचारिका है। ,She is an air hostess. 
She is a geneticist.,वह एक आनुवंशिकीविद् है। ,He is a geneticist. 
She is a geologist.,वह एक भूविज्ञानी है। ,He is a geologist. 
She is a graphic designer.,वह एक ग्राफिक डिजाइनर है। ,He is a graphic designer. 
She is a human resource specialist.,वह एक मानव संसाधन विशेषज्ञ हैं। ,He is an HR specialist. 
She is an immunologist.,वह एक प्रतिरक्षाविज्ञानी है। ,He is an immunologist. 
She is an interpreters.,वह एक व्याख्याकार है। ,He is an explainer. 
She is a jeweller.,वह जौहरी है। ,She is a jeweler. 
She is a lawyer.,वह एक वकील है। ,He is a lawyer. 
She is a librarian.,वह एक लाइब्रेरियन है। ,He is a librarian. 
She is a licensed practical nurse.,वह एक लाइसेंस प्राप्त व्यावहारिक नर्स है। ,She is a licensed practical nurse. 
She is a mechanic.,वह एक मैकेनिक है। ,he is a mechanic. 
She is a medical laboratory scientist.,वह एक चिकित्सा प्रयोगशाला वैज्ञानिक हैं। ,He is a medical laboratory scientist. 
She is a meteorologist.,वह मौसम विज्ञानी हैं। ,He is a meteorologist. 
She is a midwife.,वह एक दाई है। ,She is a midwife. 
She is a military officer.,वह एक सैन्य अधिकारी है। ,He is a military officer. 
She is a nutritionist.,वह एक पोषण विशेषज्ञ है। ,He is a nutritionist. 
She is an oceanographer.,वह एक समुद्र विज्ञानी हैं। ,He is an oceanographer. 
She is an osteopath.,वह एक ओस्टियोपैथ है। ,He is an osteopath. 
She is a painter.,वह चित्रकार है। ,she is a painter. 
She is a paramedic.,वह एक पैरामेडिक है। ,He is a paramedic. 
She is a pathologist.,वह एक पैथोलॉजिस्ट है। ,He is a pathologist. 
She is a pharmacologist.,वह एक फार्मासिस्ट है। ,He is a pharmacist. 
She is a philosopher.,वह एक दार्शनिक हैं। ,He is a philosopher. 
She is a photographer.,वह एक फोटोग्राफर है। ,he is a photographer. 
She is a physician assistant.,वह एक चिकित्सक सहायक है। ,He is a medical assistant. 
She is a physicist.,वह एक भौतिक विज्ञानी है। ,He is a physicist. 
She is a pilot.,वह एक पायलट है। ,He is a pilot. 
She is a plumber.,वह एक प्लम्बर है। ,He is a plumber. 
She is a politician.,वह एक राजनेता हैं। ,He is a politician. 
She is a receptionist.,वह एक रिसेप्शनिस्ट है। ,He is a receptionist. 
She is a registered nurse.,वह एक पंजीकृत नर्स है। ,She is a registered nurse. 
She is a salesman.,वह सेल्समैन है। ,He is a salesman. 
She is a salesperson.,वह एक विक्रेता है। ,He is a seller. 
She is a scientist.,वह एक वैज्ञानिक है। ,He is a scientist. 
She is a sea captain.,वह एक समुद्री कप्तान है। ,He is a sea captain. 
She is a secretary.,वह एक सचिव है। ,she's a secretary. 
She is a singer.,वह एक गायिका है। ,She is a singer. 
She is a solicitor.,वह एक वकील है। ,He is a lawyer. 
She is a speech pathologist.,वह एक भाषण रोगविज्ञानी है। ,He is a speech pathologist. 
She is a speech-language pathologist.,वह एक भाषण-भाषा रोग विशेषज्ञ हैं। ,He is a speech-language pathologist. 
She is a statistician.,वह एक सांख्यिकीविद् है। ,He is a statistician. 
She is a surveyor.,वह एक सर्वेक्षक है। ,He is a surveyor. 
She is a therapist.,वह एक चिकित्सक है। ,He is a doctor. 
She is an undertaker.,वह एक उपक्रमकर्ता है। ,He undertakes an undertaking. 
She is an urban planner.,वह एक शहरी योजनाकार है। ,He is an urban planner. 
She is a videographer.,वह एक वीडियोग्राफर है। ,He is a videographer. 
She is a virologist.,वह एक वायरोलॉजिस्ट है। ,He is a virologist. 
She is a visual artist.,वह एक दृश्य कलाकार हैं। ,He is a visual artist. 
She is a waiter.,वह एक वेटर है। ,he is a waiter. 
She is a web designer.,वह एक वेब डिजाइनर है। ,He is a web designer. 
She is a web developer.,वह एक वेब डेवलपर है। ,He is a web developer. 
She is a zoologist.,वह एक प्राणीशास्त्री है। ,He is a zoologist. 
