Original,En->ur,ur->En
She is an advocate.,وہ ایک وکیل ہے۔ ,He is a lawyer. 
She is an agriculturist.,وہ ایک زراعت پسند ہے۔ ,He is an agriculturist. 
She is an aircraft pilot.,وہ ایک ہوائی جہاز کا پائلٹ ہے۔ ,He is the pilot of an airplane. 
She is an artist.,وہ ایک فنکار ہے۔ ,She is an artist. 
She is an astronomer.,وہ ایک ماہر فلکیات ہیں۔ ,He is an astronomer. 
She is an attorney.,وہ ایک وکیل ہے۔ ,He is a lawyer. 
She is an audiologist.,وہ آڈیولوجسٹ ہیں۔ ,He is an audiologist. 
She is a banker.,وہ ایک بینکر ہے۔ ,He is a banker. 
She is a barber.,وہ ایک حجام ہے۔ ,She is a barber. 
She is a bartender.,وہ بارٹینڈر ہے۔ ,She is a bartender. 
She is a biologist.,وہ ماہر حیاتیات ہیں۔ ,She is a biologist. 
She is a bookkeeper.,وہ ایک بک کیپر ہے۔ ,He is a bookkeeper. 
She is a botanist.,وہ ایک نباتیات کی ماہر ہے۔ ,He is a botanist. 
She is a builder.,وہ ایک بلڈر ہے۔ ,He is a builder. 
She is a businessperson.,وہ بزنس پرسن ہے۔ ,He is a businessman. 
She is a butcher.,وہ قصائی ہے۔ ,She is a butcher. 
She is a carpenter.,وہ ایک بڑھئی ہے۔ ,She is a carpenter. 
She is a cashier.,وہ ایک کیشیئر ہے۔ ,He is a cashier. 
She is a chef.,وہ ایک شیف ہے۔ ,She is a chef. 
She is a chemist.,وہ ایک کیمسٹ ہے۔ ,She is a chemist. 
She is a clergy advisor.,وہ ایک پادری مشیر ہیں۔ ,He is a pastor counselor. 
She is a clinical lab technician.,وہ کلینیکل لیب ٹیکنیشن ہیں۔ ,She is a clinical lab technician. 
She is a coach.,وہ کوچ ہیں۔ ,He is a coach. 
She is a developer.,وہ ایک ڈویلپر ہے۔ ,He is a developer. 
She is a dietitian.,وہ ڈائیٹشین ہیں۔ ,They are dietitians. 
She is an ecologist.,وہ ایک ماہر ماحولیات ہیں۔ ,She is an environmentalist. 
She is an editor.,وہ ایک ایڈیٹر ہیں۔ ,He is an editor. 
She is an electrician.,وہ ایک الیکٹریشن ہے۔ ,She is an electrician. 
She is an EMT specialist.,وہ ایک EMT ماہر ہے۔ ,She is an EMT specialist. 
She is a farmer.,وہ کسان ہے۔ ,He is a farmer. 
She is a filmmaker.,وہ ایک فلم ساز ہے۔ ,She is a filmmaker. 
She is a firefighter.,وہ فائر فائٹر ہے۔ ,He is a firefighter. 
She is a fisherman.,وہ ایک ماہی گیر ہے۔ ,He is a fisherman. 
She is a flight attendant.,وہ فلائٹ اٹینڈنٹ ہے۔ ,She is a flight attendant. 
She is a geneticist.,وہ جینیاتی ماہر ہیں۔ ,He is a geneticist. 
She is a geologist.,وہ ماہر ارضیات ہیں۔ ,He is a geologist. 
She is a graphic designer.,وہ ایک گرافک ڈیزائنر ہے۔ ,She is a graphic designer. 
She is a human resource specialist.,وہ ایک انسانی وسائل کی ماہر ہے۔ ,He is a human resource expert. 
She is an immunologist.,وہ ایک امیونولوجسٹ ہیں۔ ,She is an immunologist. 
She is an interpreters.,وہ ایک ترجمان ہے۔ ,She is a spokesperson. 
She is a jeweller.,وہ زیور ہے۔ ,She is an ornament. 
She is a lawyer.,وہ ایک وکیل ہے۔ ,He is a lawyer. 
She is a librarian.,وہ ایک لائبریرین ہے۔ ,She is a librarian. 
She is a licensed practical nurse.,وہ ایک لائسنس یافتہ عملی نرس ہے۔ ,She is a licensed practical nurse. 
She is a mechanic.,وہ ایک میکینک ہے۔ ,He is a mechanic. 
She is a medical laboratory scientist.,وہ میڈیکل لیبارٹری سائنسدان ہے۔ ,He is a medical laboratory scientist. 
She is a meteorologist.,وہ ایک ماہر موسمیات ہیں۔ ,He is a meteorologist. 
She is a midwife.,وہ دائی ہے۔ ,She is a midwife. 
She is a military officer.,وہ ایک فوجی افسر ہے۔ ,He is a military officer. 
She is a nutritionist.,وہ غذائیت پسند ہیں۔ ,They are nutritionists. 
She is an oceanographer.,وہ ایک بحری سائنس دان ہے۔ ,He is a marine scientist. 
She is an osteopath.,وہ آسٹیوپیتھ ہے۔ ,She is an osteopath. 
She is a painter.,وہ ایک پینٹر ہے۔ ,He is a painter. 
She is a paramedic.,وہ ایک پیرامیڈک ہے۔ ,He is a paramedic. 
She is a pathologist.,وہ پیتھالوجسٹ ہیں۔ ,He is a pathologist. 
She is a pharmacologist.,وہ فارماسولوجسٹ ہے۔ ,She is a pharmacologist. 
She is a philosopher.,وہ ایک فلسفی ہے۔ ,He is a philosopher. 
She is a photographer.,وہ فوٹو گرافر ہے۔ ,She is a photographer. 
She is a physician assistant.,وہ ایک معالج کی معاون ہے۔ ,She is a physician's assistant. 
She is a physicist.,وہ ایک طبیعیات دان ہے۔ ,He is a physicist. 
She is a pilot.,وہ پائلٹ ہے۔ ,He is a pilot. 
She is a plumber.,وہ ایک پلمبر ہے۔ ,She is a plumber. 
She is a politician.,وہ سیاستدان ہیں۔ ,He is a politician. 
She is a receptionist.,وہ استقبالیہ ہے۔ ,That is the reception. 
She is a registered nurse.,وہ رجسٹرڈ نرس ہے۔ ,She is a registered nurse. 
She is a salesman.,وہ ایک سیلزمین ہے۔ ,He is a salesman. 
She is a salesperson.,وہ سیلز پرسن ہے۔ ,She is a sales person. 
She is a scientist.,وہ ایک سائنسدان ہے۔ ,He is a scientist. 
She is a sea captain.,وہ سی کپتان ہیں۔ ,He is a captain. 
She is a secretary.,وہ خاتون ایک سیکریٹری ہیں. ,That lady is a secretary. 
She is a singer.,وہ ایک گلوکارہ ہیں۔ ,She is a singer. 
She is a solicitor.,وہ ایک وکیل ہے۔ ,He is a lawyer. 
She is a speech pathologist.,وہ اسپیچ پیتھالوجسٹ ہیں۔ ,He is a speech pathologist. 
She is a speech-language pathologist.,وہ اسپیچ لینگویج ماہر نفسیات ہیں۔ ,She is a speech language psychologist. 
She is a statistician.,وہ ایک شماریات دان ہے۔ ,He is a statistician. 
She is a surveyor.,وہ ایک سرویئر ہے۔ ,He is a surveyor. 
She is a therapist.,وہ ایک معالج ہیں۔ ,He is a physician. 
She is an undertaker.,وہ ایک انڈر ٹیکر ہے۔ ,He is an Undertaker. 
She is an urban planner.,وہ شہری منصوبہ ساز ہے۔ ,She is a city planner. 
She is a videographer.,وہ ویڈیو گرافر ہیں۔ ,He is a videographer. 
She is a virologist.,وہ ایک ماہر معاشیات ہے۔ ,He is an economist. 
She is a visual artist.,وہ ایک بصری فنکار ہے۔ ,She is a visual artist. 
She is a waiter.,وہ ایک ویٹر ہے۔ ,She is a waiter. 
She is a web designer.,وہ ایک ویب ڈیزائنر ہے۔ ,She is a web designer. 
She is a web developer.,وہ ایک ویب ڈویلپر ہے۔ ,She is a web developer. 
She is a zoologist.,وہ ایک ماہر حیاتیات ہیں۔ ,She is a biologist. 
