original,En2Catalan,Catalan2En,En2Cebuano,Cebuano2En,En2Chinese_Simplified,Chinese_Simplified2En,En2Chinese_Traditional,Chinese_Traditional2En,En2Corsican,Corsican2En,En2Croatian,Croatian2En,En2Czech,Czech2En,En2Danish,Danish2En,En2Dutch,Dutch2En,En2English,English2En,En2Esperanto,Esperanto2En,En2Estonian,Estonian2En
She is an advocate.,És una defensora. ,She is an advocate. ,Siya usa ka manlalaban. ,He is a defender. ,她是一位拥护者。 ,She is a champion. ,她是一位擁護者。 ,She is a champion. ,Hè un difensore. ,He is a defender. ,Ona je odvjetnica. ,She's a lawyer. ,Je obhájkyní. ,She is a lawyer. ,Hun er advokat. ,She's a lawyer. ,Ze is een advocaat. ,She's a lawyer. ,She is an advocate. ,She is an advocate. ,Ŝi estas rekomendanto. ,She is a recommender. ,Ta on advokaat. ,He is a lawyer. 
She is an agriculturist.,És agricultora. ,She is a farmer. ,Usa siya ka Agrikulturista. ,He is an Agriculturalist. ,她是一位农业学家。 ,She is an agriculturist. ,她是一位農業學家。 ,She is an agriculturist. ,Hè agricultore. ,He is a farmer. ,Ona je poljoprivrednica. ,She is a farmer. ,Je to zemědělkyně. ,She is a farmer. ,Hun er landbruger. ,She is a farmer. ,Ze is een landbouwkundige. ,She is an agronomist. ,She is an agriculturist. ,She is an agriculturist. ,Ŝi estas terkulturisto. ,She is a farmer. ,Ta on põllumajandusteadlane. ,He is an agricultural scientist. 
She is an aircraft pilot.,És pilot d’avions. ,He is an airplane pilot. ,Usa siya ka piloto sa ayroplano. ,He was an airplane pilot. ,她是一名飞机驾驶员。 ,She is an airplane pilot. ,她是一名飛機駕駛員。 ,She is an airplane pilot. ,Hè un pilotu d'aviò. ,He is an airplane pilot. ,Ona je pilot zrakoplova. ,She is an aircraft pilot. ,Je pilotkou letadla. ,She is a pilot on an airplane. ,Hun er en flypilot. ,She's a flight pilot. ,Ze is een vliegtuigpiloot. ,She's an airplane pilot. ,She is an aircraft pilot. ,She is an aircraft pilot. ,Ŝi estas aviadila piloto. ,She is an airplane pilot. ,Ta on lennukipiloot. ,He's an airplane pilot. 
She is an artist.,És artista. ,He is an artist. ,Usa siya ka artista. ,He is an actor. ,她是一位艺术家。 ,She is an artist. ,她是一位藝術家。 ,She is an artist. ,Hè una artista. ,She is an artist. ,Ona je umjetnica. ,She is an artist. ,Je umělkyní. ,She is an artist. ,Hun er kunstner. ,She's an artist. ,Ze is een artiest. ,She's an artist. ,She is an artist. ,She is an artist. ,Ŝi estas artisto. ,She is an artist. ,Ta on kunstnik. ,He is an artist. 
She is an astronomer.,És astrònoma. ,She is an astronomer. ,Siya usa ka astronomo. ,He was an astronomer. ,她是一位天文学家。 ,She is an astronomer. ,她是一位天文學家。 ,She is an astronomer. ,Hè un astrònomu. ,He is an astronomer. ,Ona je astronom. ,She is an astronomer. ,Je astronomka. ,She is an astronomer. ,Hun er astronom. ,She's an astronomer. ,Ze is een astronoom. ,She is an astronomer. ,She is an astronomer. ,She is an astronomer. ,Ŝi estas astronomino. ,She is an astronomer. ,Ta on astronoom. ,He is an astronomer. 
She is an attorney.,És advocada. ,She is a lawyer. ,Usa siya ka abogado. ,He is a lawyer. ,她是一名律师。 ,She is a lawyer. ,她是律師。 ,She is a lawyer. ,Hè un avvucatu. ,He is a lawyer. ,Ona je odvjetnik. ,She is a lawyer. ,Je advokátkou. ,She is a lawyer. ,Hun er advokat. ,She's a lawyer. ,Ze is advocaat. ,She's a lawyer. ,She is an attorney. ,She is an attorney. ,Ŝi estas advokato. ,She is a lawyer. ,Ta on advokaat. ,He is a lawyer. 
She is an audiologist.,És audiòloga. ,She is an audiologist. ,Usa siya ka audiologist. ,He is an audiologist. ,她是听觉病学家。 ,She is an audiologist. ,她是聽覺病學家。 ,She is an audiologist. ,Hè un audiologu. ,He is an audiologist. ,Ona je audiolog. ,She is an audiologist. ,Je audiologička. ,She is an audiologist. ,Hun er audiolog. ,She's an audiologist. ,Ze is audioloog. ,She is an audiologist. ,She is an audiologist. ,She is an audiologist. ,Ŝi estas aŭdiologo. ,She is an audiologist. ,Ta on audioloog. ,He's an audiologist. 
She is a banker.,És banquera. ,She is a banker. ,Banker siya. ,He is a banker. ,她是一位银行家。 ,She is a banker. ,她是一位銀行家。 ,She is a banker. ,Hè un bancalaru. ,He is a banker. ,Ona je bankar. ,She is a banker. ,Je to bankéřka. ,She's a banker. ,Hun er bankmand. ,She's a banker. ,Ze is een bankier. ,She is a banker. ,She is a banker. ,She is a banker. ,Ŝi estas bankisto. ,She is a banker. ,Ta on pankur. ,He's a banker. 
She is a barber.,És barber. ,He is a barber. ,Usa siya ka barbero. ,He is a barber. ,她是个理发师。 ,She is a barber. ,她是個理髮師。 ,She is a barber. ,Hè barbiera. ,She is a barber. ,Ona je brijačnica. ,She's a barber. ,Je holička. ,She's a girl. ,Hun er barberer. ,She's a barber. ,Ze is een kapper. ,She's a hairdresser. ,She is a barber. ,She is a barber. ,Ŝi estas barbiro. ,She is a barber. ,Ta on juuksur. ,She is a hairdresser. 
She is a bartender.,És barman. ,He is a bartender. ,Usa siya ka bartender. ,He is a bartender. ,她是一个调酒师。 ,She is a bartender. ,她是一個調酒師。 ,She is a bartender. ,Hè un barman. ,He is a bartender. ,Ona je barmen. ,She's a bartender. ,Je to barmanka. ,She's a bartender. ,Hun er bartender. ,She's a bartender. ,Ze is een barman. ,She's a bartender. ,She is a bartender. ,She is a bartender. ,Ŝi estas drinkejisto. ,She is a bartender. ,Ta on baarmen. ,He's a bartender. 
