original,En2Pashto,Pashto2En,En2Persian,Persian2En,En2Polish,Polish2En,En2Portuguese,Portuguese2En,En2Punjabi,Punjabi2En,En2Romanian,Romanian2En,En2Russian,Russian2En,En2Samoan,Samoan2En,En2Scots_Gaelic,Scots_Gaelic2En,En2Serbian,Serbian2En,En2Sesotho,Sesotho2En,En2Shona,Shona2En
She is an advocate.,هغه مدافع ده ,She is a defender ,او یک مدافع است. ,He is a defender. ,Jest adwokatem. ,He is an attorney. ,Ela é uma defensora. ,She is an advocate. ,ਉਹ ਇੱਕ ਵਕੀਲ ਹੈ. ,He is a lawyer. ,Este un avocat. ,He's a lawyer. ,Она адвокат. ,She is a lawyer. ,O ia o se fautua. ,He is an advocate. ,Tha i na neach-tagraidh. ,She is an advocate. ,Она је адвокат. ,She is a lawyer. ,Ke mmuelli. ,I am an advocate. ,Ndiye mumiriri. ,He is the ambassador. 
She is an agriculturist.,هغه کرهنیزه ده. ,She is an agriculturist. ,او یک کشاورز است. ,He is a farmer. ,Jest rolnikiem. ,He is a farmer. ,Ela é uma agricultora. ,She is a farmer. ,ਉਹ ਇੱਕ ਖੇਤੀਬਾੜੀ ਹੈ. ,He is an agriculturist. ,Este agricultor. ,He is a farmer. ,Она агроном. ,She is an agronomist. ,O ia o se faifaatoaga. ,He is a farmer. ,Tha i na neach-àiteachais. ,She is an farmer. ,Она је пољопривредник. ,She is a farmer. ,Ke setsebi sa temo. ,I am an agricultural expert. ,Iye inyanzvi yekurima. ,He is an agricultural expert. 
She is an aircraft pilot.,هغه د الوتکې پیلوټ ده ,She is a pilot ,او یک خلبان هواپیما است. ,He is a pilot. ,Jest pilotem samolotu. ,He is an airplane pilot. ,Ela é piloto de avião. ,She is an airplane pilot. ,ਉਹ ਇਕ ਏਅਰਕ੍ਰਾਫਟ ਪਾਇਲਟ ਹੈ। ,He is an aircraft pilot. ,Este pilot de aeronavă. ,He's an aircraft pilot. ,Она летчик самолета. ,She is an airplane pilot. ,O ia o se vaalele vaalele. ,He is an airplane pilot. ,Tha i na pìleat itealain. ,She is a flight pilot. ,Она је пилот авиона. ,She is an airplane pilot. ,Ke mofofisi oa sefofane. ,I am a pilot. ,Iye mutyairi wendege. ,He is a pilot. 
She is an artist.,هغه یوه هنرمند ده ,She is an artist ,او یک هنرمند است. ,He is an artist. ,Ona jest artystką. ,She is an artist. ,Ela é uma artista. ,She is an artist. ,ਉਹ ਇੱਕ ਕਲਾਕਾਰ ਹੈ. ,He is an artist. ,Ea este o artistă. ,She is an artist. ,Она - художник. ,She is an artist. ,O ia o se atisi. ,He is an artist. ,Tha i na neach-ealain. ,She is an artist. ,Она је уметница. ,She is an artist. ,Ke setaki. ,I am an artist. ,Ndiye muimbi. ,He is a singer. 
She is an astronomer.,هغه ستورپیژندونکې ده ,She is an astrologer ,او یک ستاره شناس است. ,He is an astronomer. ,Jest astronomem. ,He is an astronomer. ,Ela é uma astrônoma. ,She is an astronomer. ,ਉਹ ਇੱਕ ਖਗੋਲ ਵਿਗਿਆਨੀ ਹੈ. ,He is an astronomer. ,Ea este astronomă. ,She is an astronomer. ,Она астроном. ,She is an astronomer. ,O ia o se tagata vaʻai fetu. ,He is an astrologer. ,Tha i na speuradair. ,She is an astronaut. ,Она је астроном. ,She is an astronomer. ,Ke setsebi sa linaleli. ,I am an astronomer. ,Iye nyanzvi yemuchadenga. ,He is an astronomer. 
She is an attorney.,هغه څارنواله ده ,She is a prosecutor ,او وكیل است. ,He is a lawyer. ,Jest prawnikiem. ,He is a lawyer. ,Ela é advogada. ,She is a lawyer. ,ਉਹ ਇੱਕ ਵਕੀਲ ਹੈ. ,He is a lawyer. ,Este avocat. ,He's a lawyer. ,Она адвокат. ,She is a lawyer. ,O ia o se loia ,He is a lawyer ,Tha i na neach-lagha. ,She is a lawyer. ,Она је адвокат. ,She is a lawyer. ,Ke 'muelli oa molao. ,He is a lawyer. ,Ndiye gweta. ,He is a lawyer. 
She is an audiologist.,هغه د آډیوولوژیست ده ,She is an audiologist ,او شنوایی شناس است. ,He is an audiologist. ,Jest audiologiem. ,He is an audiologist. ,Ela é uma audiologista. ,She is an audiologist. ,ਉਹ ਇੱਕ ਆਡੀਓਲੋਜਿਸਟ ਹੈ. ,He is an audiologist. ,Este audiolog. ,He's an audiologist. ,Она аудиолог. ,She is an audiologist. ,O ia o se suʻe leo. ,He is a voice actor. ,Tha i na neach-èisdeachd. ,She is a listener. ,Она је аудиолог. ,She is an audiologist. ,Ke setsebi sa kutlo. ,I am a hearing aid. ,Iye ari audiologist. ,He is an audiologist. 
She is a banker.,هغه بانکداره ده ,She is a banker ,او یک بانکدار است. ,He is a banker. ,Ona jest bankierem. ,She is a banker. ,Ela é uma banqueira. ,She is a banker. ,ਉਹ ਇੱਕ ਸ਼ਾਹੂਕਾਰ ਹੈ. ,He is a banker. ,Este bancher. ,He's a banker. ,Она банкир. ,She is a banker. ,O ia o se faletupe. ,He is a banker. ,Tha i na bancair. ,She is a banker. ,Она је банкар. ,She is a banker. ,Ke banki. ,I am a banker. ,Iye mubhengi. ,He's a banker. 
She is a barber.,هغه یو حجام دی. ,He is a barber. ,او آرایشگر است. ,She is a hairdresser. ,Jest fryzjerką. ,She is a hairdresser. ,Ela é uma barbeira. ,She is a barber. ,ਉਹ ਇੱਕ ਨਾਈ ਹੈ. ,She is a barber. ,Este frizer. ,It's a barber. ,Она парикмахер. ,She is a hairdresser. ,O ia o se oti ulu. ,He is a barber. ,Tha i na borbair. ,She is a barber. ,Она је берберина. ,She's a barber. ,Ke mokuti. ,That's right. ,Iye mugeri. ,He's a barber. 
She is a bartender.,هغه بارټینډر ده. ,She is a bartender. ,او یک متصدی بار است. ,He is a bartender. ,Jest barmanką. ,She is a bartender. ,Ela é uma bartender. ,She is a bartender. ,ਉਹ ਬਾਰਟੈਂਡਰ ਹੈ. ,He is a bartender. ,Este barman. ,He's a bartender. ,Она бармен. ,She's a bartender. ,O ia o se pa pia. ,He is a beer bar. ,Tha i na bartender. ,She is a bartender. ,Она је бармен. ,She's a bartender. ,Ke motho ea rekisang joala. ,He is a liquor salesman. ,Iye bharanzi. ,He's a balance. 
