original,En2Afrikaans,Afrikaans2En,En2Albanian,Albanian2En,En2Amharic,Amharic2En,En2Arabic,Arabic2En,En2Armenian,Armenian2En,En2Azerbaijani,Azerbaijani2En,En2Basque,Basque2En,En2Belarusian,Belarusian2En,En2Bengali,Bengali2En,En2Bosnian,Bosnian2En,En2Bulgarian,Bulgarian2En
She is an advocate.,Sy is 'n advokaat. ,She's a lawyer. ,Ajo është avokate. ,She is a lawyer. ,ተሟጋች ናት ፡፡ ,She is an advocate. ,هي مناصرة. ,She is an advocate. ,Նա փաստաբան է: ,He is a lawyer. ,O vəkildir. ,He is a lawyer. ,Abokatua da. ,He is a lawyer. ,Яна абаронца. ,She is a defender. ,তিনি একজন অ্যাডভোকেট। ,He is an advocate. ,Ona je advokat. ,She is a lawyer. ,Тя е адвокат. ,She is a lawyer. 
She is an agriculturist.,Sy is 'n landboukundige. ,She is an agriculturist. ,Ajo është një bujqësore. ,It is an agricultural. ,እርሷ የግብርና ባለሙያ ናት ፡፡ ,She is an agronomist. ,هي زراعيّة. ,It is agricultural. ,Նա գյուղատնտես է: ,He is an agriculturist. ,"O, kənd təsərrüfatı mütəxəssisidir. ",He is an agricultural specialist. ,Nekazaria da. ,He is a farmer. ,Яна сельская гаспадарка. ,She is farming. ,তিনি একজন কৃষিবিদ। ,He is an agriculturist. ,Ona je poljoprivrednica. ,She is a farmer. ,Тя е земеделец. ,She is a farmer. 
She is an aircraft pilot.,Sy is 'n vliegtuigvlieënier. ,She's an airplane pilot. ,Ajo është një pilot avioni. ,She is an airplane pilot. ,እሷ የአውሮፕላን አብራሪ ነች ፡፡ ,She is a pilot. ,هي طيار طائرة. ,She is an airplane pilot. ,Նա ինքնաթիռի օդաչու է: ,He is a pilot. ,Təyyarə pilotudur. ,He is a pilot. ,Hegazkin pilotua da. ,He is a pilot. ,Яна - пілот самалёта. ,She is an airplane pilot. ,তিনি একজন বিমানের পাইলট। ,He is an aircraft pilot. ,Ona je pilot aviona. ,She is an airplane pilot. ,Тя е пилот на самолет. ,She is an airplane pilot. 
She is an artist.,Sy is 'n kunstenaar. ,She's an artist. ,Ajo është një artiste. ,She is an artist. ,አርቲስት ናት ፡፡ ,She is an artist. ,هي فنانة. ,She is an artist. ,Նա նկարչուհի է: ,She is an artist. ,O bir sənətkardır. ,He is an artist. ,Artista da. ,He is an artist. ,Яна мастак. ,She is an artist. ,সে একজন শিল্পী. ,He is an artist. ,Ona je umjetnica. ,She is an artist. ,Тя е художник. ,She is an artist. 
She is an astronomer.,Sy is 'n sterrekundige. ,She's an astronomer. ,Ajo është një astronom. ,She is an astronomer. ,የሥነ ፈለክ ተመራማሪ ናት ፡፡ ,She is an astronomer. ,هي عالمة فلك. ,She is an astronomer. ,Նա աստղագետ է: ,He is an astronomer. ,"O, astronomdur. ",He is an astronomer. ,Astronomoa da. ,He is an astronomer. ,Яна - астраном. ,She is an astronomer. ,তিনি একজন জ্যোতির্বিদ। ,He is an astronomer. ,Ona je astronom. ,She is an astronomer. ,Тя е астроном. ,She is an astronomer. 
She is an attorney.,Sy is 'n prokureur. ,She's a lawyer. ,Ajo është avokate. ,She is a lawyer. ,ጠበቃ ናት ፡፡ ,She is a lawyer. ,هي محامية. ,She is a lawyer. ,Նա փաստաբան է: ,He is a lawyer. ,O vəkildir. ,He is a lawyer. ,Abokatua da. ,He is a lawyer. ,Яна адвакат. ,She is a lawyer. ,তিনি একজন অ্যাটর্নি। ,He is an attorney. ,Ona je advokat. ,She is a lawyer. ,Тя е адвокат. ,She is a lawyer. 
She is an audiologist.,Sy is 'n oudioloog. ,She's an audiologist. ,Ajo është audiologe. ,She is an audiologist. ,የኦዲዮሎጂ ባለሙያ ነች ፡፡ ,She is an audiologist. ,هي أخصائية سمعيات. ,She is an audiologist. ,Նա աուդիոլոգ է: ,He is an audiologist. ,"O, bir audioloqdur. ",He is an audiologist. ,Audiologoa da. ,He is an audiologist. ,Яна - аўдыёлаг. ,She is an audiologist. ,তিনি একজন অডিওলজিস্ট। ,He is an audiologist. ,Ona je audiolog. ,She is an audiologist. ,Тя е аудиолог. ,She is an audiologist. 
She is a banker.,Sy is 'n bankier. ,She's a banker. ,Ajo është bankiere. ,She is a banker. ,እሷ የባንክ ባለሙያ ናት ፡፡ ,She is a banker. ,هي تعمل في البنوك. ,She works in banks. ,Նա բանկիր է: ,He is a banker. ,Bankir. ,Banker. ,Bankaria da. ,He is a banker. ,Яна банкір. ,She is a banker. ,তিনি একজন ব্যাংকার। ,He is a banker. ,Ona je bankar. ,She is a banker. ,Тя е банкер. ,She is a banker. 
She is a barber.,Sy is 'n barbier. ,She's a barber. ,Ajo është berber. ,She is a barber. ,እሷ ፀጉር አስተካካይ ናት ፡፡ ,She is a hairdresser. ,هي حلاق. ,She is a stylist. ,Նա վարսավիր է: ,She is a hairdresser. ,Bərbərdir. ,She is a hairdresser. ,Bizargina da. ,She is a barber. ,Яна цырульнік. ,She is a barber. ,তিনি নাপিত ,He is a barber ,Ona je brijač. ,She's a barber. ,Тя е бръснар. ,She is a barber. 
She is a bartender.,Sy is 'n kroegman. ,She's a bartender. ,Ajo është një banakiere. ,She is a bartender. ,እሷ ቡና ቤት አሳላፊ ናት ፡፡ ,She is a bartender. ,هي نادل. ,She is a waiter. ,Նա բարմեն է: ,He is a bartender. ,Barmendir. ,He is a bartender. ,Tabernaria da. ,He is a bartender. ,Яна - бармэн. ,She is a bartender. ,তিনি একজন বারটেন্ডার। ,He is a bartender. ,Ona je barmen. ,She's a bartender. ,Тя е барман. ,She is a bartender. 
