original,En2Tatar,Tatar2En,En2Telugu,Telugu2En,En2Thai,Thai2En,En2Turkish,Turkish2En,En2Turkmen,Turkmen2En,En2Ukrainian,Ukrainian2En,En2Uyghur,Uyghur2En,En2Uzbek,Uzbek2En,En2Vietnamese,Vietnamese2En,En2Welsh,Welsh2En,En2Xhosa,Xhosa2En,En2Yiddish,Yiddish2En
She is an advocate.,Ул яклаучы. ,He is a defender. ,ఆమె న్యాయవాది. ,She is a lawyer. ,เธอเป็นผู้สนับสนุน ,She is a supporter ,O bir avukattır. ,"['He is a lawyer.', 'She is a lawyer.']",Aklawçy. ,Lawyer. ,Вона є адвокатом. ,She is a lawyer. ,ئۇ بىر ئادۋوكات. ,He is a lawyer. ,U advokat. ,He is a lawyer. ,Cô ấy là một người ủng hộ. ,She is an advocate. ,Mae hi'n eiriolwr. ,She is an advocate. ,Ungummeli. ,He is a lawyer. ,זי איז אַן אדוואקאט. ,She is a lawyer. 
She is an agriculturist.,Ул агроном. ,Ul agronomist. ,ఆమె వ్యవసాయదారుడు. ,She is a farmer. ,เธอเป็นเกษตรกร ,She is a farmer ,Tarımcıdır. ,It is agricultural. ,Ol agronom. ,He is an agronomist. ,Вона аграрій. ,She is an agrarian. ,ئۇ دېھقانچىلىقچى. ,He is a farmer. ,U qishloq xo'jaligi mutaxassisi. ,He is an agricultural specialist. ,Cô ấy là một nhà nông nghiệp. ,She is an agriculturalist. ,Mae hi'n amaethwr. ,She is a farmer. ,Uyingcali kwezolimo. ,He is an agricultural expert. ,זי איז אַ לאַנדווירטשאַפטלעך. ,She is an agricultural. 
She is an aircraft pilot.,Ул самолет пилоты. ,St plane pilots. ,ఆమె విమాన పైలట్. ,She is a flight pilot. ,เธอเป็นนักบินเครื่องบิน ,She is an airplane pilot ,O bir uçak pilotu. ,"[""He's an airplane pilot."", ""She's an airplane pilot.""]",Uçarman. ,I am a pilot. ,Вона - пілот літака. ,She is an airplane pilot. ,ئۇ ئايروپىلان ئۇچقۇچىسى. ,He is a pilot. ,U samolyot uchuvchisi. ,He is a pilot. ,Cô ấy là một phi công máy bay. ,She is an airplane pilot. ,Mae hi'n beilot awyrennau. ,She is an aircraft pilot. ,Ungumqhubi wenqwelomoya. ,He is a pilot. ,זי איז אַ ערקראַפט פּילאָט. ,She is an aircraft pilot. 
She is an artist.,Ул рәссам. ,He is an artist. ,ఆమె ఆర్టిస్ట్. ,She is an artist. ,เธอเป็นศิลปิน ,She is an artist ,O bir sanatçı. ,"[""He's an artist."", ""She's an artist.""]",Ol hudo .nik. ,He is a god .nik. ,Вона художник. ,She is an artist. ,ئۇ بىر سەنئەتكار. ,He is an artist. ,U rassom. ,U rassom. ,Cô ấy là một họa sĩ. ,She is an artist. ,Mae hi'n arlunydd. ,She is an artist. ,Ungumculi. ,She is an artist. ,זי איז אַ קינסטלער. ,She is an artist. 
She is an astronomer.,Ул астроном. ,Astronomer st. ,ఆమె ఖగోళ శాస్త్రవేత్త. ,She is an astronomer. ,เธอเป็นนักดาราศาสตร์ ,She is an astronomer ,O bir gökbilimci. ,"[""He's an astronomer."", ""She's an astronomer.""]",Ol astronom. ,He is an astronomer. ,Вона астроном. ,She is an astronomer. ,ئۇ ئاسترونوم. ,He is an astronomer. ,U astronom. ,He is an astronomer. ,Cô ấy là một nhà thiên văn học. ,She is an astronomer. ,Mae hi'n seryddwr. ,She is an astronomer. ,Uyisazi ngeenkwenkwezi. ,He is an astronomer. ,זי איז אַן אַסטראָנאָמער. ,She is an astronomer. 
She is an attorney.,Ул адвокат. ,Ul lawyer. ,ఆమె న్యాయవాది. ,She is a lawyer. ,เธอเป็นทนายความ ,She is a lawyer ,O bir avukattır. ,"['He is a lawyer.', 'She is a lawyer.']",Aklawçy. ,Lawyer. ,Вона адвокат. ,She is a lawyer. ,ئۇ ئادۋوكات. ,He is a lawyer. ,U advokat. ,He is a lawyer. ,Cô ấy là một luật sư. ,She is a lawyer. ,Mae hi'n atwrnai. ,She is an attorney. ,Uligqwetha. ,He is a lawyer. ,זי איז אן אדװאקאט. ,She's a lawyer. 
She is an audiologist.,Ул аудиолог. ,Ul audiologist. ,ఆమె ఆడియాలజిస్ట్. ,She is an audiologist. ,เธอเป็นนักโสตวิทยา ,She is an audiologist ,O bir odyolog. ,"[""He's an audiologist."", ""She's an audiologist.""]",Ol audiolog. ,He is an audiologist. ,Вона аудіолог. ,She is an audiologist. ,ئۇ ئۈندىدار. ,He is a listener. ,U audiolog. ,He is an audiologist. ,Cô ấy là một nhà thính học. ,She is an audiologist. ,Mae hi'n awdiolegydd. ,She is an audiologist. ,Ugqirha wezandi. ,Phonologist. ,זי איז אַן אַודיאָלאָגיסט. ,She is an audiologist. 
She is a banker.,Ул банкир. ,Banker st. ,ఆమె బ్యాంకర్. ,She is a banker. ,เธอเป็นนายธนาคาร ,She is a banker ,O bir bankacı. ,"[""He's a banker."", ""She's a banker.""]",Ol bankir. ,He is a banker. ,Вона банкір. ,She is a banker. ,ئۇ بانكىر. ,He is a banker. ,U bankir. ,He is a banker. ,Cô ấy là một nhân viên ngân hàng. ,She is a banker. ,Mae hi'n fanciwr. ,She banker . ,Ungumgcini-bhanki. ,He is a banker. ,זי איז א באנקיר. ,She is a banker. 
She is a barber.,Ул чәчтараш. ,She is a hairdresser. ,ఆమె మంగలి. ,She is a barber. ,เธอเป็นช่างตัดผม ,She is a barber ,O bir berberdir. ,"['He is a barber.', 'She is a barber.']",Ol bir dellekçi. ,He is a hairdresser. ,Вона перукарня. ,She is a hairdresser. ,ئۇ بىر ساتىراچ. ,He is a barber. ,U sartarosh. ,He is a barber. ,Cô ấy là một thợ cắt tóc. ,She is a barber. ,Mae hi'n farbwr. ,She barber . ,Ungumchebi weenwele. ,She is a barber. ,זי איז אַ שערער. ,She is a barber. 
She is a bartender.,Ул бармен. ,Ul bartender. ,ఆమె బార్టెండర్. ,She is a bartender. ,เธอเป็นบาร์เทนเดอร์ ,She is a bartender ,O bir barmen. ,"[""He's a bartender."", ""She's a bartender.""]",Ol barmen. ,He is a bartender. ,Вона - бармен. ,She is a bartender. ,ئۇ بىر قاۋاقخانا. ,It’s a bar. ,U bufetchi. ,He is a bartender. ,Cô ấy là một nhân viên pha chế. ,She is a bartender. ,Mae hi'n bartender. ,She bartender . ,Ungumthengisi webhari. ,He is a bar merchant. ,זי איז אַ באַרשענקער. ,She is a bartender. 
