original,En2Yoruba,Yoruba2En,En2Zulu,Zulu2En
She is an advocate.,O jẹ alagbawi. ,He is an advocate. ,Ungummeli. ,He is a lawyer. 
She is an agriculturist.,Arabinrin agbe ni. ,She is a farmer's sister. ,Ungumlimi. ,He is a farmer. 
She is an aircraft pilot.,O jẹ awakọ ọkọ ofurufu kan. ,He was a pilot. ,Ungumshayeli wendiza. ,He is a pilot. 
She is an artist.,O jẹ olorin. ,He is an artist. ,Ungumculi. ,She is an artist. 
She is an astronomer.,Onirọ-aye ni. ,He is a philosopher. ,Uyisazi sezinkanyezi. ,He is an astronomer. 
She is an attorney.,O jẹ agbẹjọro. ,He is a lawyer. ,Ungummeli. ,He is a lawyer. 
She is an audiologist.,Arabinrin onitumọ ni. ,She is a translator. ,Ungudokotela wezindlebe. ,She is an ear doctor. 
She is a banker.,Oni banki ni. ,It's a bank. ,Ungusomabhange. ,He is a banker. 
She is a barber.,Onírun ni. ,He is hairy. ,Ungumgundi. ,She is a barber. 
She is a bartender.,Ologba ni o je. ,He is a gardener. ,Ungumthengisi webhawa. ,He is a bar salesman. 
She is a biologist.,O jẹ onimọ-jinlẹ. ,He is a scientist. ,Ungusosayensi wezinto eziphilayo. ,He is a biologist. 
She is a bookkeeper.,Oniṣowo iwe ni. ,He is a book dealer. ,Ungusobhuku. ,He is a bookmaker. 
She is a botanist.,O jẹ onkawe nipa eweko. ,He is a reader about plants. ,Ungusosayensi wezitshalo. ,He is a botanist. 
She is a builder.,O jẹ akọle. ,It is a title. ,Ungumakhi. ,He is a builder. 
She is a businessperson.,Oniṣowo ni. ,He is a businessman. ,Ungusomabhizinisi. ,He is a businessman. 
She is a butcher.,Oniranran ni. ,It is different. ,Uyisilaha. ,He is a butcher. 
She is a carpenter.,Gbẹnagbẹna ni. ,He is a carpenter. ,Ungumbazi. ,He is a carpenter. 
She is a cashier.,Oniṣowo ni. ,He is a businessman. ,Ungumphathi wemali. ,He is a money manager. 
She is a chef.,Oluwanje ni. ,He is a chef. ,Ungumpheki. ,She is a cook. 
She is a chemist.,O jẹ onimọra. ,He is an expert. ,Ungusokhemisi. ,He is a pharmacist. 
She is a clergy advisor.,Onímọ̀ràn nípa àlùfáà ni. ,He was a priest's counselor. ,Ungumeluleki wabefundisi. ,He is a clergyman's adviser. 
She is a clinical lab technician.,Arabinrin onimọ-iṣe laabu ni. ,She is a lab technician. ,Unguchwepheshe wezokwelapha emtholampilo. ,She is a medical professional at the clinic. 
She is a coach.,O jẹ olukọni. ,He is a teacher. ,Ungumqeqeshi. ,He is a coach. 
She is a developer.,Olùgbéejáde ni. ,He is a developer. ,Ungunjiniyela. ,He is an engineer. 
She is a dietitian.,Onisẹ ounjẹ ni. ,He is a chef. ,Ungudokotela wezokudla. ,She is a dietitian. 
She is an ecologist.,Arabinrin onimo nipa eda abemi ni. ,She is an ecologist. ,Uyisazi semvelo. ,He is a naturalist. 
She is an editor.,Olootu ni. ,It's an editor. ,Ungumhleli. ,He is an editor. 
She is an electrician.,O jẹ ina mọnamọna. ,It is electric. ,Ungumsebenzi kagesi. ,He is an electrician. 
She is an EMT specialist.,Arabinrin EMT ni. ,She is an EMT sister. ,Unguchwepheshe we-EMT. ,She is an EMT specialist. 
She is a farmer.,Agbe ni. ,It is watering. ,Ungumlimi. ,He is a farmer. 
