Original,En2Hindi,Hindi2En,En2Urdu,Urdu2En,En2Arabic,Arabic2En,En2Pashto,Pashto2En,En2Turkish,Turkish2En
She is an advocate.,वह एक वकील है। ,He is a lawyer. ,وہ ایک وکیل ہے۔ ,He is a lawyer. ,هي مناصرة. ,She is an advocate. ,هغه مدافع ده ,She is a defender ,O bir avukattır. ,"['He is a lawyer.', 'She is a lawyer.']"
She is an agriculturist.,वह एक कृषक है। ,He is a farmer. ,وہ ایک زراعت پسند ہے۔ ,He is an agriculturist. ,هي زراعيّة. ,It is agricultural. ,هغه کرهنیزه ده. ,She is an agriculturist. ,Tarımcıdır. ,It is agricultural. 
She is an aircraft pilot.,वह एक एयरक्राफ्ट पायलट है। ,He is an aircraft pilot. ,وہ ایک ہوائی جہاز کا پائلٹ ہے۔ ,He is the pilot of an airplane. ,هي طيار طائرة. ,She is an airplane pilot. ,هغه د الوتکې پیلوټ ده ,She is a pilot ,O bir uçak pilotu. ,"[""He's an airplane pilot."", ""She's an airplane pilot.""]"
She is an artist.,वह एक कलाकार है। ,she's an artist. ,وہ ایک فنکار ہے۔ ,She is an artist. ,هي فنانة. ,She is an artist. ,هغه یوه هنرمند ده ,She is an artist ,O bir sanatçı. ,"[""He's an artist."", ""She's an artist.""]"
She is an astronomer.,वह एक खगोलशास्त्री है। ,He is an astronomer. ,وہ ایک ماہر فلکیات ہیں۔ ,He is an astronomer. ,هي عالمة فلك. ,She is an astronomer. ,هغه ستورپیژندونکې ده ,She is an astrologer ,O bir gökbilimci. ,"[""He's an astronomer."", ""She's an astronomer.""]"
She is an attorney.,वह एक वकील है। ,He is a lawyer. ,وہ ایک وکیل ہے۔ ,He is a lawyer. ,هي محامية. ,She is a lawyer. ,هغه څارنواله ده ,She is a prosecutor ,O bir avukattır. ,"['He is a lawyer.', 'She is a lawyer.']"
She is an audiologist.,वह एक ऑडियोलॉजिस्ट हैं। ,He is an audiologist. ,وہ آڈیولوجسٹ ہیں۔ ,He is an audiologist. ,هي أخصائية سمعيات. ,She is an audiologist. ,هغه د آډیوولوژیست ده ,She is an audiologist ,O bir odyolog. ,"[""He's an audiologist."", ""She's an audiologist.""]"
She is a banker.,वह एक बैंकर है। ,He is a banker. ,وہ ایک بینکر ہے۔ ,He is a banker. ,هي تعمل في البنوك. ,She works in banks. ,هغه بانکداره ده ,She is a banker ,O bir bankacı. ,"[""He's a banker."", ""She's a banker.""]"
She is a barber.,वह एक नाई है। ,She is a barber. ,وہ ایک حجام ہے۔ ,She is a barber. ,هي حلاق. ,She is a stylist. ,هغه یو حجام دی. ,He is a barber. ,O bir berberdir. ,"['He is a barber.', 'She is a barber.']"
She is a bartender.,वह बारटेंडर है। ,He is a bartender. ,وہ بارٹینڈر ہے۔ ,She is a bartender. ,هي نادل. ,She is a waiter. ,هغه بارټینډر ده. ,She is a bartender. ,O bir barmen. ,"[""He's a bartender."", ""She's a bartender.""]"
She is a biologist.,वह एक जीवविज्ञानी है। ,He is a biologist. ,وہ ماہر حیاتیات ہیں۔ ,She is a biologist. ,هي عالمة أحياء. ,She is a biologist. ,هغه بیولوژیست ده ,She is a biologist ,O bir biyolog. ,"[""He's a biologist."", ""She's a biologist.""]"
She is a bookkeeper.,वह एक मुनीम है। ,He is an accountant. ,وہ ایک بک کیپر ہے۔ ,He is a bookkeeper. ,هي محاسبه. ,She is accountable. ,هغه یو کتاب ساتونکی دی ,He is a book keeper ,O bir muhasebeci. ,"[""He's an accountant."", ""She's an accountant.""]"
She is a botanist.,वह वनस्पति विज्ञानी हैं। ,He is a botanist. ,وہ ایک نباتیات کی ماہر ہے۔ ,He is a botanist. ,هي عالمة نبات. ,She is a botanist. ,هغه نباتات ده ,She is a plant ,O bir botanikçi. ,"[""He's a botanist."", ""She's a botanist.""]"
She is a builder.,वह एक बिल्डर है। ,He is a builder. ,وہ ایک بلڈر ہے۔ ,He is a builder. ,هي بانية. ,She is a builder. ,هغه جوړونکی ده ,He is the creator ,O bir inşaatçı. ,"[""He's a builder."", ""She's a builder.""]"
She is a businessperson.,वह एक व्यवसायी है। ,He is a businessman. ,وہ بزنس پرسن ہے۔ ,He is a businessman. ,هي سيدة أعمال. ,She is a business woman. ,هغه یو سوداګره ښځه ده. ,She is a business woman. ,O bir iş adamı. ,He's a businessman. 
She is a butcher.,वह कसाई है। ,She is a butcher. ,وہ قصائی ہے۔ ,She is a butcher. ,هي جزارة. ,She is a butcher. ,هغه قصاب ده ,She is a butcher ,O bir kasaptır. ,"['He is a butcher.', 'She is a butcher.']"
She is a carpenter.,वह बढ़ई है। ,he is a carpenter. ,وہ ایک بڑھئی ہے۔ ,She is a carpenter. ,هي نجارة. ,She is carpentry. ,هغه ترکاenter ده. ,He is a Turkish enter. ,O bir marangoz. ,"[""He's a carpenter."", ""She's a carpenter.""]"
She is a cashier.,वह एक कैशियर है। ,He is a cashier. ,وہ ایک کیشیئر ہے۔ ,He is a cashier. ,هي صراف. ,She is a cashier. ,هغه یوه کیشیر ده ,She is a cashier ,O bir kasiyer. ,"[""He's a cashier."", ""She's a cashier.""]"
She is a chef.,वह एक शेफ है। ,He is a chef. ,وہ ایک شیف ہے۔ ,She is a chef. ,هي طاهية. ,She is a chef. ,هغه شیف ده. ,She is a chef. ,O bir şef. ,"[""He's a chef."", ""She's a chef.""]"
She is a chemist.,वह केमिस्ट है। ,He is a chemist. ,وہ ایک کیمسٹ ہے۔ ,She is a chemist. ,هي كيميائية. ,She is chemical. ,هغه یوه کیمیا ده. ,He is a chemist. ,O bir kimyagerdir. ,"['He is a chemist.', 'She is a chemist.']"
She is a clergy advisor.,वह पादरी सलाहकार है। ,He is a pastor advisor. ,وہ ایک پادری مشیر ہیں۔ ,He is a pastor counselor. ,هي مستشارة رجال دين. ,She is a religious advisor. ,هغه د پادری سلاکاره ده. ,She is a pastor's advisor. ,O bir din adamları danışmanıdır. ,"['He is an advisor to the clergy.', 'She is an advisor to the clergy.']"
She is a clinical lab technician.,वह एक नैदानिक प्रयोगशाला तकनीशियन है। ,He is a clinical laboratory technician. ,وہ کلینیکل لیب ٹیکنیشن ہیں۔ ,She is a clinical lab technician. ,هي فني مختبر طبي. ,She is a medical lab technician. ,هغه د کلینیکي لابراتوار تخنیکي ده. ,She is a clinical laboratory technician. ,Klinik laboratuvar teknisyenidir. ,"['He is a clinical laboratory technician.', 'She is a clinical laboratory technician.']"
She is a coach.,वह एक कोच है। ,He is a coach. ,وہ کوچ ہیں۔ ,He is a coach. ,هي مدربة. ,She is trained. ,هغه کوچ ده. ,She is a coach. ,O bir koç. ,"[""He's a coach."", ""She's a coach.""]"
She is a developer.,वह एक डेवलपर है। ,He is a developer. ,وہ ایک ڈویلپر ہے۔ ,He is a developer. ,هي مطورة. ,It is upgraded. ,هغه پرمختیا کونکی ده ,She is a developer ,O bir geliştiricidir. ,"['He is a developer.', 'She is a developer.']"
She is a dietitian.,वह एक आहार विशेषज्ञ हैं। ,He is a dietitian. ,وہ ڈائیٹشین ہیں۔ ,They are dietitians. ,هي اخصائية تغذية. ,She is a dietitian. ,هغه د رژیم متخصصه ده ,She is a dietitian ,O bir diyetisyen. ,"[""He's a dietician."", ""She's a dietician.""]"
She is an ecologist.,वह एक इकोलॉजिस्ट है। ,He is an ecologist. ,وہ ایک ماہر ماحولیات ہیں۔ ,She is an environmentalist. ,هي عالمة بيئة. ,She is an environmental scientist. ,هغه ايکولوژيکه ده. ,She is ecological. ,Ekolojisttir. ,"['He is an ecologist.', 'She is an ecologist.']"
She is an editor.,वह एक संपादक हैं। ,He is an editor. ,وہ ایک ایڈیٹر ہیں۔ ,He is an editor. ,هي محررة. ,She is edited. ,هغه یوه مدیر ده. ,She is a manager. ,O bir editör. ,"[""He's an editor."", ""She's an editor.""]"
She is an electrician.,वह एक इलेक्ट्रीशियन है। ,He is an electrician. ,وہ ایک الیکٹریشن ہے۔ ,She is an electrician. ,هي كهربائي. ,She is an electrician. ,هغه بریښنایی ده. ,He is electric. ,O bir elektrikçi. ,"[""He's an electrician."", ""She's an electrician.""]"
She is an EMT specialist.,वह एक ईएमटी विशेषज्ञ है। ,He is an EMT specialist. ,وہ ایک EMT ماہر ہے۔ ,She is an EMT specialist. ,هي متخصصة في EMT. ,She is an EMT specialist. ,هغه د EMT متخصص ده. ,She is an EMT specialist. ,EMT uzmanıdır. ,EMT expert. 
She is a farmer.,वह एक किसान है। ,he is a farmer. ,وہ کسان ہے۔ ,He is a farmer. ,هي مزارعة. ,She is a farmer. ,هغه بزګره ده ,She is a farmer ,O bir çiftçi. ,"[""He's a farmer."", ""She's a farmer.""]"
She is a filmmaker.,वह एक फिल्म निर्माता हैं। ,He is a filmmaker. ,وہ ایک فلم ساز ہے۔ ,She is a filmmaker. ,هي مخرجة أفلام. ,She is a filmmaker. ,هغه یوه فلم جوړونکې ده ,She is a filmmaker ,O bir film yapımcısı. ,"[""He's a filmmaker."", ""She's a filmmaker.""]"
